legacyId,parentId,qubitParentSlug,levelOfDescription,digitalObjectPath,digitalObjectURI,title,description
etd2006,,,Collection,logos/logo_etd2006.jpg,,ETD 2006,"ETD 2006, Universite Laval, Quebec City, Canada"
etd2011,,,Collection,logos/logo_etd2011.jpg,,ETD 2011,"ETD 2011, Cape Town, South Africa"
