legacyId,parentId,qubitParentSlug,levelOfDescription,digitalObjectPath,digitalObjectURI,title,description,creator,date
,,,item,etd2006/Art_Ryhno.mp3,,Open Source: Sensible solutions for empowering the masses,"One of the most significant and exciting trends on the computing landscape is Open Source Software (OSS). Eric Raymond's groundbreaking essay, ""The Cathedral and the Bazaar"", was an early description of the processes that made up the OSS phenomenon, and described two fundamentally different software development styles, the ""cathedral"" model, representing most commercial software projects, versus the ""bazaar"" model of Open Source. Bazaars are urban creations, the noisy, crowded spaces that Raymond used to characterize OSS software development suggests the need for a network of software developers and an extended community of contacts for reviewing code and picking up projects to keep them going. These communities have been smaller and more dispersed in memory institutions than in many other types of organizations, but a critical mass has emerged, and more is happening with OSS in libraries and similar institutions than ever before. This session describes the latest developments in OSS and explores how they could impact libraries and access to information.",Art Ryhno,2006
,,,item,etd2006/Bornfreund_educommons_FAQ.pdf|etd2006/Bornfreund_educommons_suggestions.pdf|etd2006/Bornfreund_etd2006_presentation.pdf|etd2006/Marcus_Bornfreund.mp3,,Creative Commons.ca,"Projects and initiatives across the country are indicating a significant difficult around the exchange, re-use, and repurposing of learning objects. Learning objects that are being created must meet specific criteria for accessibility, flexibility and clarity around intellectual property - think of this as open 'copyright' standards. In many cases, where intellectual property is clear, it is restrictive and/or encumbered beyond reasonable opportunities for exchange, re-use, sale, or repurposing. This workshop will discuss how Creative Commons licensing can facilitate the sharing of learning objects with a view to increasing the availability of Canadian content-rich learning objects.",Marcus Bornfreund,2006
,,,item,etd2006/Copyright_panel.mp3,,Panel: Copyright,"The new era opened in scholarly communication by the electronic media and reinforced recently by trends such as Open Access, seems to undermine most of the principles upon which Intellectual Property has been built for decades. International initiatives and projects have proved that other models to manage copyrights are possible and that other needs, especially in academic institutions, exists. Panellists will explore following topics: relevance of Intellectual property in learning institutions, licences models, plagiarism. 
Les perspectives ouvertes dans la communication savante par le format électronique, perspectives auxquelles de nouvelles tendances comme l’Open Access ont donné une autre dimension, ont remis en question certains principes fondamentaux de la propriété intellectuelle. Des projets internationaux ont prouvé que des alternatives pour gérer les droits d’auteur existent et que de nouveaux besoins émergent, particulièrement dans les universités. Les participants débattront les sujets suivants: la pertinence de la propriété intellectuelle dans les établissements d’enseignement, les modèles de licences et le plagiat.",Marcus Bornfreund| Eva Müller| Kim Neal,2006
,,,item,etd2006/JC_Guedon.mp3,,Etd and Repositories,"Theses and dissertation repositories do not always locate themselves easily within institutional repositories. The fundamental question is whether they represent genuine research results, or just a ritualized step toward the granting of a degree. The argument presented here is that masters theses should not generally be treated as research results (although exceptions can be made for excellent pieces of work, and procedures devised to accommodate such exceptions), but that doctoral dissertations should. Furthermore, such documents can be submitted to various forms of evaluation that would help enhance the attractiveness of institutional repositories. Finally, dissertations provide an excellent testbed to design new forms of data and knowledge mining. In other words, dissertations on-line helps us move toward the Web 2.0.",Jean-Claude Guédon,2006
,,,item,etd2006/Peter_Suber.mp3|etd2006/Suber_etd2006.ppt,,Open Access for ETDs,"To set the stage, I describe the kinds of literature most and least suited to open access (OA) and some of the recent policies by universities and funding agencies to mandate OA. Then I argue that ETDs are among the genres most suited to OA, examine the properties of ETDs that make this so, call for universities to mandate OA for ETDs, and discuss some of the policy and implementation questions that such mandates might raise.",Peter Suber,2006
,,,item,etd2006/Poster_Alejandra_Gonzalez.pdf,,Development of an ETD Library at the Instituto Balseiro (Argentina),,Alejandra González,2006
,,,item,etd2006/Poster_Charl_Roberts.jpg|etd2006/Poster_Charl_Roberts.pdf,,ETD in South Africa – The National Development,,Charl Roberts,2006
,,,item,etd2006/Poster_Feret_Rozniakowska.pdf|etd2006/Poster_Feret_Rozniakowska_text.pdf,,Following the leaders – what we can do about Polish ETD projects?,,Malgorzata Rozniakowska| Blazej Feret,2006
,,,item,etd2006/Poster_Klosa_Uwe.ppt,,The DiVA Publishing System Uncovered: XML Based Technologies for Advanced Publishing Services,,Uwe Klosa| Eva Müller,2006
,,,item,etd2006/Poster_Streimikis.pdf,,The Integration of Lithuanian ETD into the National Digital Library,,Antanas Streimikis,2006
,,,item,etd2006/SP10_Charles_Thomas.pdf|etd2006/SP10_Charles_Thomas.ppt,,Digital Preservation for ETDs,,Charles Thomas| Priscilla Caplan,2006
,,,item,etd2006/SP10_Kamini_Santhanagopalan.pdf|etd2006/SP10_Kamini_Santhanagopalan.ppt,,Prototype for Preservation of International ETDs using LOCKSS and OAI-PMH,,Kamini Santhanagopalan,2006
,,,item,etd2006/SP10_Thomas_Wollschlaeger.pdf|etd2006/SP10_Thomas_Wollschlaeger.ppt,,ETD's as pilot materials for long-term preservation efforts in kopal,,Thomas Wollschlaeger,2006
,,,item,etd2006/SP11_Ed_Fox.ppt,,Curriculum Development: Enhancing Education and Comprehension of NDLTD,,Edward Fox,2006
,,,item,etd2006/SP11_SeonhoKim.pdf|etd2006/SP11_SeonhoKim.ppt,,Supply and Demand Analysis in NDLTD Based on Patron Specialty Survey and Contents Statistics,,Seonho Kim,2006
,,,item,etd2006/SP1_Christine_Jewell.pdf|etd2006/SP1_Christine_Jewell.ppt,,"Required Open Access to ETDs: technical, logistical, and philosophical implications of the move from an option to open access as the default",,Christine Jewell,2006
,,,item,etd2006/SP1_Kabore.pdf|etd2006/SP1_Kabore.ppt,,Projet de numérisation des thèses des facultés de médecine et mémoires d’instituts de formation dans le domaine de la santé de la Région africaine par la Bibliothèque du Bureau régional de l'OMS pour l'Afrique,,Mme Marie-Paule Kabore,2006
,,,item,etd2006/SP1_Sharon_Reeves.pdf|etd2006/SP1_Sharon_Reeves.ppt,,An Overview of Theses Canada and ETD Initiatives at Library and Archives Canada,,Sharon Reeves,2006
,,,item,etd2006/SP2_Frida_Sangren.pdf,,A workflow system for ETDs. A supportive feature in the electronic publishing chain,,Frida Sandgren| Eva Müller,2006
