legacyId,parentId,qubitParentSlug,levelOfDescription,digitalObjectPath,digitalObjectURI,title,description,creator,date
,,,item,etd2006/SP2_mcdonald_kaplan_thomas.pdf,,"Establishing Technical, Administrative and Legal Consolidation of Non- Published and Near-Published Research: the Florida State University Experience",,Robert H. McDonald| Chuck Thomas| Michael Kaplan,2006
,,,item,etd2006/SP2_McLeanJohn_SLATTERY.ppt,,From Paper to ETDs: A Case Studies of Two institutions from the Perspective of the Graduate School,,John Slattery| Austin McLean,2006
,,,item,etd2006/SP3_John_Hagen.pdf|etd2006/SP3_John_Hagen.ppt,,The Institutional Repository at West Virginia University Libraries: Resources for Effective Promotion,,John Hagen,2006
,,,item,etd2006/SP3_Lisa_Atkinson.pdf|etd2006/SP3_Lisa_Atkinson.ppt,,The Rejection of D-Space: Selecting Theses Database Software at the University of Calgary Archives,,Lisa Atkinson,2006
,,,item,etd2006/SP3_Mahendra_N_Jadhav.pdf|etd2006/SP3_Mahendra_N_Jadhav.ppt,,"Enhancing Digital Repository of Scholarly Publications at Indian Institute of Technology, Bombay",,Mahendra Jadhav,2006
,,,item,etd2006/SP3_Philip_Wong.pdf|etd2006/SP3_Philip_Wong.ppt,,Developing an E-Theses Collection in the CityU Institutional Repository,,Philip Wong,2006
,,,item,etd2006/SP4_Anna_Pavani.pdf,,Getting to Know the Contents of Bibliographic References of ETDs,,Ana Pavani,2006
,,,item,etd2006/SP4_Muller_Choudhury.pdf,,Added values to e-theses,,Sayeed Choudhury| Eva Müller,2006
,,,item,etd2006/SP4_Walter_Chaudiron.pdf,,Médiation documentaire et visée éditoriale : analyse des principes de mise en ligne de ressources pédagogiques,,Stéphane Chaudiron| Richard Walter,2006
,,,item,etd2006/SP5_Jude_Edminster.ppt,,Intellectual Property and Mandatory ETDs that Constitute Literary Works of Art: A case study of one creative writing program’s efforts to achieve solutions,,Jude Edminster,2006
,,,item,etd2006/SP5_Mark_Perry.pdf,,Developing legal protocols and practices for managing copyright in electronic theses,,Mark Perry| Paula Callan,2006
,,,item,etd2006/SP5_Naseem_Saeed_Sherwani.pdf|etd2006/SP5_Naseem_Saeed_Sherwani.ppt,,The Role of Penn State in Promoting Intellectual Property Rights Through ETDs publishing,,Naseem Sherwani,2006
,,,item,etd2006/SP6_Brian_SURRATT.pdf|etd2006/SP6_Brian_SURRATT.ppt,,MODS meets Manakin: Innovations in the Texas Digital Library’s Thesis and Dissertation Collection,,Brian Surratt,2006
,,,item,etd2006/SP6_Mark_Jordan.ppt,,A Metadata Application Profile for Canadian Repositories,h,Mark Jordan| Kathleen Shearer,2006
,,,item,etd2006/SP6_Yann_NICOLAS.pdf|etd2006/SP6_Yann_NICOLAS.ppt,,TEF : métadonnées pour les thèses électroniques françaises,,Yann Nicolas,2006
,,,item,etd2006/SP7_Christopher_Pressler.ppt,,Open Access at work: DART-EUROPE one-year on,,Christopher Pressler,2006
,,,item,etd2006/SP8_Cedric_Dumas.ppt,,"Castore, une plateforme libre pour la capitalisation documentaire des établissements d'enseignement supérieur et de recherche",,Cédric Dumas,2006
,,,item,etd2006/SP8_Jean_Paul_Ducasse.ppt,,Le programme Cyberthèses : un réseau institutionnel et multilingue pour l’accès ouvert,,Jean Paul Ducasse,2006
,,,item,etd2006/SP8_Rida_Benjelloun.ppt,,Archimède 2.0 : une solution libre pour les dépôts institutionnels,,Rida Benjelloun,2006
,,,item,etd2006/SP9_Gerard_van_Westrienen.ppt,,Promise of Science: a ‘Dutch treat’ to doctoral e-theses,,Gerard van Westrienen,2006
,,,item,etd2006/SP9_Martin_Wolf.pdf|etd2006/SP9_Martin_Wolf.ppt,,EThOS (Electronic Theses Online Service) - a national UK project,,Martin Wolf,2006
,,,item,etd2006/SP9_Susan_Copeland.ppt,,The 'EThOS' Toolkit,,Susan Copeland,2006
,,,item,,,DissOnline-Tutor a project for tutoring the editing of electronic thesis and dissertations,,Guenter Toerner,2006
,,,item,,,The NDLTD Wiki & Online Community Activities,,Joe Moxley,2006
,,,item,,,Les dépôts institutionnels comme infrastructure d’information pour la recherche : un modèle ouvert pour la gestion des documents scientifiques,,Dany Bouchard,2006
